experimentID,condition,region,histogram_kind,time_interval,delta_time,start_time,end_time,minimal_pixel_num,N,log10(N),mean,median,10th_pctl,25th_pctl,90th_pctl,75th_pctl,95th_pctl
88,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,80270.0,4.904553262976773,1033.7670583172112,1000.0092960948145,784.3303936860674,875.309165030422,1301.9222155883062,1155.180736606363,1461.3025251260394
89,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,47535.0,4.677013498245982,1393.8204850976247,1396.8572034876897,1143.2844980951365,1241.327419758792,1695.6093199767365,1526.78376273953,1747.278565409982
90,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,58473.0,4.7669553762046935,1027.5272712986375,967.4873868885405,853.6397722844504,897.1701380825267,1234.4792714240843,1069.5726919705223,1364.5046975291064
91,control,in_SF,distances_R,P5_P7,2.0,5.0,7.0,5000.0,112598.0,5.05153067651286,1455.497846879305,1455.8224784311801,1223.2264632092401,1318.8163780887417,1680.1858787977721,1566.6353558164058,1752.5549737132453
92,control,in_SF,distances_R,P5_P7,2.0,5.0,7.0,5000.0,173191.0,5.2385253198297494,1509.889220394099,1504.3110166503684,1292.064764152204,1384.1680289910078,1719.8300801882003,1625.5758042485613,1769.0642945039
93,control,in_SF,distances_R,P5_P7,2.0,5.0,7.0,5000.0,293358.0,5.46739793611288,1370.7011237255267,1363.8419200327357,1189.1420343236014,1264.5493948903684,1559.4868968617288,1479.7220511333876,1585.5548179482976
94,control,in_SF,distances_R,P5_P7,2.0,5.0,7.0,5000.0,373899.0,5.572754303626906,1456.4060610699673,1455.573726436126,1221.0014397487187,1325.0992107917446,1688.3311548218744,1569.883624219028,1765.4944671230364
95,control,in_SF,distances_R,P5_P7,2.0,5.0,7.0,5000.0,139305.0,5.143966704603715,1370.2614309638088,1372.9929530169234,1122.18015,1244.659459629393,1613.6755383058696,1509.298667273231,1660.5573248967328
96,control,in_SF,distances_R,P5_P8,3.0,5.0,8.0,5000.0,828837.0,5.9184691301149135,1691.3737769159422,1688.7236758110112,1479.7286851220654,1574.7294511973193,1900.2966404726187,1803.9407906425947,1960.7954152520392
97,control,in_SF,distances_R,P5_P8,3.0,5.0,8.0,5000.0,355151.0,5.5504130418543935,1781.6243816869796,1793.5002866330642,1502.8831292181576,1643.612641121927,2041.93667182984,1930.2724612537722,2077.303999380482
98,control,in_SF,distances_R,P5_P8,3.0,5.0,8.0,5000.0,1002849.0,6.001235545778516,1742.7892246916779,1758.4823607522883,1439.3530722455876,1582.9389888016262,2031.4700456984378,1912.8582283752394,2079.115965905645
99,control,in_SF,distances_R,P5_P8,3.0,5.0,8.0,5000.0,823570.0,5.915700518286264,1804.2569740676552,1812.1023989574649,1547.5239044448854,1684.6157421854373,2043.2817602243645,1948.065456682314,2086.1240381264847
100,control,in_SF,distances_R,P5_P8,3.0,5.0,8.0,5000.0,361502.0,5.558110704359626,1755.304881642052,1761.1058873459774,1483.7825367184475,1603.2937419495431,2038.841589332437,1927.0353639852312,2107.7793656878844
101,control,in_SF,distances_R,P5_P8,3.0,5.0,8.0,5000.0,272429.0,5.435253336242248,1768.49382251716,1769.7839466078426,1521.174725483366,1652.7260499341357,1998.4021345294532,1901.6818490642602,2079.039768719242
102,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,70883.0,4.850542090028461,1117.1958213837797,1091.4251626731525,934.9921875218353,1007.9012377792181,1413.0966031816658,1184.7672054084194,1440.8747422525657
104,control,in_SF,distances_R,P8_P9,1.0,8.0,9.0,5000.0,246611.0,5.392012444249801,1692.5497013513864,1693.6109148908276,1415.9131360307613,1529.6969365314296,1966.1432093889348,1850.7106718223156,2014.462601487313
106,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,11572.0,4.063408424975945,1311.6264374125053,1264.9190690684677,1151.2862280695056,1210.3365470928766,1568.4035150663997,1389.9585651926964,1687.6787581756555
107,control,in_SF,distances_R,P5_P8,3.0,5.0,8.0,5000.0,707751.0,5.849880491663669,2282.1000853916967,2291.021979239202,2051.34680146401,2154.737376274945,2509.7124370882916,2409.562116211847,2561.9504381799748
108,control,in_SF,distances_R,P5_P7,2.0,5.0,7.0,5000.0,186013.0,5.269543297072612,1644.5865137087003,1643.0058136889115,1427.0350525594429,1525.8609362766392,1849.1888306814728,1777.0116063525857,1908.6864846688181
109,control,in_SF,distances_R,P5_P7,2.0,5.0,7.0,5000.0,345177.0,5.538041849888291,1387.4626778041118,1398.6746292830903,1129.7145621503755,1259.163151104513,1611.9884372719714,1526.9106311827131,1648.7527824607353
110,control,in_SF,distances_R,P5_P7,2.0,5.0,7.0,5000.0,439253.0,5.6427147363118895,1366.4338055418968,1371.5184010576847,1102.9084464967061,1227.0551143377638,1593.3446763777588,1502.6653454035181,1656.9996639973554
111,control,in_SF,distances_R,P5_P7,2.0,5.0,7.0,5000.0,220516.0,5.343440106092362,1561.761184476845,1584.124343026329,1299.6285905047512,1412.8831626588749,1792.7865371897672,1697.862537625071,1882.9902667800013
112,control,in_SF,distances_R,P5_P7,2.0,5.0,7.0,5000.0,210665.0,5.323592387675066,1425.785697378457,1429.465796691988,1228.1987248568744,1317.4228114658906,1605.1698904339273,1544.79507,1667.2108939769253
113,control,in_SF,distances_R,P8_P9,1.0,8.0,9.0,5000.0,205725.0,5.313287070996229,1763.5341543425404,1789.195138500936,1499.8810700331503,1654.4126848624683,1961.0319346919853,1890.8960896196584,2025.439954638234
114,control,in_SF,distances_R,P8_P9,1.0,8.0,9.0,5000.0,199772.0,5.300534617535398,1857.8452704507426,1896.127624155023,1546.5599330532943,1744.823793604264,2079.3504642663825,2013.1599565421964,2106.435745078777
115,control,in_SF,distances_R,P8_P9,1.0,8.0,9.0,5000.0,120466.0,5.080864490098037,1806.8466529655595,1811.936153587589,1584.455470784118,1692.202968415639,2005.7112131403615,1905.0540203550477,2044.288034573502
116,control,in_SF,distances_R,P8_P9,1.0,8.0,9.0,5000.0,94753.0,4.976592969171192,1896.8967678628408,1889.2104693113133,1741.4076066913487,1800.1976403158503,2037.7944694078394,1987.3208359341502,2056.353098181884
117,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,394310.0,5.595837791249608,1245.8117277008407,1227.7010559751702,1051.9891270194366,1112.2080462141062,1464.1998850858338,1366.5973782108053,1517.3163091612366
118,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,282625.0,5.451210575353416,1341.1820785621037,1341.7845023643956,1141.5701090604423,1220.4665063469624,1531.0607816548759,1447.2110278020668,1590.4703073410058
119,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,321738.0,5.5075023578111715,1351.798016560324,1355.3348895979007,1165.8496943193218,1243.1528233441222,1532.1994857774152,1468.159034714076,1566.9509288944669
120,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,339522.0,5.530867920498832,1443.2141149092108,1456.0083807517294,1230.3674665014303,1339.33491490576,1643.9689684260609,1553.314344996858,1689.337230556258
121,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,169299.0,5.228654392865199,1152.3118462382436,1137.9919552855881,969.0135,1043.8414177045743,1343.7840026820536,1254.512611629163,1404.6541056682981
122,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,149588.0,5.174896755675416,1188.3950352312677,1195.6378292864742,1000.3511196013422,1092.0580968286972,1359.5293151269948,1290.3310024793643,1389.8051963370413
123,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,117757.0,5.070986732964536,1365.7230250860582,1359.2583238497252,1243.6284951396647,1286.0502499431118,1496.2298235558396,1437.0098858872886,1525.7733579455892
124,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,225599.0,5.353337170242845,1299.0501184624509,1294.6703160327581,1118.5668746356498,1197.794802507557,1476.0036110750566,1394.087608184521,1532.0880999864444
